,open,high,low,close,volume,symbol
2024-06-07,55.3700,56.2750,55.2700,55.7300,4143499,DOW
2024-06-06,55.6200,56.0000,55.4300,55.6800,3463521,DOW
2024-06-05,55.1500,55.9400,55.0300,55.6900,3945277,DOW
2024-06-04,55.5700,55.7200,55.1000,55.1500,4600589,DOW
2024-06-03,57.5500,57.5900,55.4400,56.0700,4696573,DOW
2024-05-31,56.6300,57.7500,56.5910,57.6300,5920058,DOW
2024-05-30,57.0000,57.5500,56.9800,57.3900,3180411,DOW
2024-05-29,57.5000,57.6100,56.9700,57.0000,2969532,DOW
2024-05-28,57.9000,58.3650,57.7600,58.0400,2493681,DOW
2024-05-24,57.2900,57.8200,57.2800,57.7600,2675900,DOW
2024-05-23,57.4900,57.5200,56.8200,56.9200,3423516,DOW
2024-05-22,58.5200,58.6600,57.2900,57.6000,4852018,DOW
2024-05-21,59.1800,59.2900,58.8050,58.9100,2252890,DOW
2024-05-20,59.1000,59.4500,58.8000,59.2400,1915143,DOW
2024-05-17,59.0600,59.2100,58.7000,59.1900,2668713,DOW
2024-05-16,59.0400,59.4100,58.5100,58.7000,4871335,DOW
2024-05-15,60.0400,60.1900,58.9700,59.0600,3541172,DOW
2024-05-14,59.5600,59.9400,59.5150,59.6500,3516821,DOW
2024-05-13,59.5000,59.9200,59.2300,59.3600,2257733,DOW
2024-05-10,59.6900,60.1300,59.2800,59.4100,3053627,DOW
2024-05-09,58.7500,59.5900,58.7500,59.4500,4208243,DOW
2024-05-08,57.9400,59.3300,57.9400,58.6400,4950706,DOW
2024-05-07,57.6100,59.1300,57.3700,58.3600,6215160,DOW
2024-05-06,57.2600,57.3700,56.7200,57.3400,3862633,DOW
2024-05-03,57.1900,57.4300,56.7500,57.0400,2544394,DOW
2024-05-02,57.5700,57.7600,56.3899,56.8300,4453050,DOW
2024-05-01,57.0400,57.9500,56.4300,57.2300,5102871,DOW
2024-04-30,57.2700,57.9500,56.8800,56.9000,5566023,DOW
2024-04-29,57.2300,57.8300,57.1700,57.8000,4249776,DOW
2024-04-26,57.6500,58.2100,57.1500,57.2900,5573593,DOW
2024-04-25,57.7100,57.9000,55.0600,56.4400,7082841,DOW
2024-04-24,56.4100,57.2200,56.3800,56.9800,4954674,DOW
2024-04-23,56.6500,57.1018,56.4500,56.7400,3099345,DOW
2024-04-22,56.6200,57.3100,56.2800,56.9900,3211574,DOW
2024-04-19,56.4900,56.9200,56.3150,56.6600,3862096,DOW
2024-04-18,57.3000,57.3000,56.0400,56.4900,3856169,DOW
2024-04-17,57.1700,57.3600,56.6700,56.8200,2815378,DOW
