,open,high,low,close,volume,symbol
2024-06-07,6.4500,7.0100,6.2920,6.5550,402849,INDU
2024-06-06,7.5200,7.6500,7.4140,7.5300,99274,INDU
2024-06-05,7.3600,7.5050,7.2600,7.4800,62803,INDU
2024-06-04,7.3500,7.4500,7.2500,7.2900,65771,INDU
2024-06-03,7.2900,7.6000,7.2900,7.4200,141168,INDU
2024-05-31,7.1300,7.1900,6.9100,7.1700,496206,INDU
2024-05-30,7.1900,7.2600,7.0900,7.1000,55668,INDU
2024-05-29,7.2100,7.2500,7.1200,7.1300,68824,INDU
2024-05-28,7.1500,7.3050,7.1100,7.2300,95491,INDU
2024-05-24,6.9600,7.1800,6.8000,7.1400,179842,INDU
2024-05-23,6.8700,6.9100,6.4000,6.8900,354477,INDU
2024-05-22,6.7500,6.8300,6.7350,6.8300,86746,INDU
2024-05-21,6.6500,6.8000,6.5900,6.8000,75046,INDU
2024-05-20,6.8700,6.8900,6.6500,6.6500,95378,INDU
2024-05-17,6.9400,6.9400,6.7900,6.8400,72928,INDU
2024-05-16,6.9200,6.9700,6.9100,6.9500,52801,INDU
2024-05-15,7.0400,7.0700,6.7500,6.8800,85350,INDU
2024-05-14,6.9900,7.1100,6.9300,6.9500,61848,INDU
2024-05-13,6.9200,6.9800,6.8300,6.8700,60425,INDU
2024-05-10,6.9000,6.9400,6.7850,6.9200,51070,INDU
2024-05-09,6.8400,6.9200,6.7000,6.9200,69587,INDU
2024-05-08,6.6300,6.7800,6.6200,6.7800,29609,INDU
2024-05-07,6.7300,6.7800,6.6100,6.6300,70898,INDU
2024-05-06,6.8300,6.8762,6.6900,6.6900,31292,INDU
2024-05-03,6.8000,6.8700,6.7118,6.7700,56579,INDU
2024-05-02,6.6900,6.7600,6.6450,6.6800,44935,INDU
2024-05-01,6.7000,6.7300,6.5437,6.6100,45657,INDU
2024-04-30,6.9000,6.9403,6.6400,6.6500,75178,INDU
2024-04-29,6.8700,6.9600,6.8000,6.9200,70097,INDU
2024-04-26,6.6300,6.8300,6.6300,6.8100,57075,INDU
2024-04-25,6.5500,6.6500,6.5400,6.6000,53713,INDU
2024-04-24,6.5600,6.6238,6.5200,6.5700,64066,INDU
2024-04-23,6.4600,6.6800,6.4600,6.5400,70321,INDU
2024-04-22,6.7200,6.7200,6.4600,6.4800,68451,INDU
2024-04-19,6.6400,6.8000,6.5700,6.6600,53579,INDU
2024-04-18,6.8800,6.9200,6.5900,6.6600,86036,INDU
2024-04-17,7.0800,7.0950,6.8600,6.8600,40689,INDU
2024-04-16,7.1200,7.1200,7.0000,7.1000,55616,INDU
2024-04-15,7.3000,7.3300,7.0710,7.1300,58417,INDU
2024-04-12,7.4600,7.4600,7.2500,7.2700,74518,INDU
2024-04-11,7.5400,7.5400,7.3900,7.4700,44666,INDU
2024-04-10,7.5800,7.6650,7.5310,7.5600,98050,INDU
2024-04-09,7.7500,7.7600,7.6800,7.7400,60145,INDU
2024-04-08,7.8800,7.9000,7.6900,7.7200,73301,INDU
2024-04-05,7.6800,7.8800,7.6500,7.8800,49425,INDU
2024-04-04,7.8100,7.8500,7.6200,7.6700,68427,INDU
2024-04-03,7.7400,7.8900,7.7400,7.7800,72337,INDU
2024-04-02,7.6600,7.8845,7.6550,7.7800,67966,INDU
2024-04-01,7.8700,7.8700,7.6900,7.7100,83530,INDU
2024-03-28,7.8500,7.9750,7.8500,7.9000,72287,INDU
2024-03-27,7.7900,7.8799,7.7700,7.8500,67924,INDU
2024-03-26,7.7400,7.9300,7.7400,7.7700,41570,INDU
2024-03-25,7.7600,7.8200,7.6850,7.7300,64372,INDU
2024-03-22,8.0600,8.1000,7.7800,7.7800,42029,INDU
2024-03-21,7.8300,8.1100,7.8000,8.0200,58874,INDU
2024-03-20,7.6100,7.8900,7.6100,7.8300,64382,INDU
2024-03-19,7.5500,7.7800,7.5500,7.6400,197851,INDU
2024-03-18,7.6800,7.7200,7.5700,7.5800,268205,INDU
2024-03-15,7.6100,7.8200,7.5600,7.7400,336154,INDU
2024-03-14,7.9000,7.9200,7.5000,7.5700,243774,INDU
2024-03-13,7.8200,7.9200,7.8200,7.8600,202465,INDU
2024-03-12,7.7700,7.8400,7.6400,7.8000,110047,INDU
2024-03-11,7.7100,7.8400,7.6100,7.7800,69388,INDU
2024-03-08,8.2000,8.2000,7.6700,7.8000,129984,INDU
2024-03-07,8.2350,8.2500,8.0800,8.2100,53670,INDU
2024-03-06,8.0100,8.0400,7.8800,8.0300,53801,INDU
2024-03-05,8.0900,8.1800,7.9500,8.0100,38853,INDU
2024-03-04,8.2400,8.2800,8.0300,8.0800,48966,INDU
2024-03-01,8.2400,8.2900,8.1500,8.1900,36022,INDU
2024-02-29,8.2400,8.2400,8.1000,8.1900,51643,INDU
2024-02-28,8.2400,8.4200,8.0800,8.1200,24549,INDU
2024-02-27,8.4200,8.4800,8.2500,8.3100,47723,INDU
2024-02-26,8.2700,8.3600,7.9300,8.3100,252186,INDU
2024-02-23,8.2499,8.3700,8.2400,8.3200,41086,INDU
2024-02-22,8.1600,8.2750,8.1600,8.2500,50546,INDU
2024-02-21,8.1700,8.1900,8.0900,8.1600,30138,INDU
2024-02-20,8.1000,8.2300,8.0601,8.1900,73496,INDU
2024-02-16,8.3600,8.3600,8.0500,8.2000,59472,INDU
2024-02-15,8.2100,8.3700,8.2000,8.3600,64577,INDU
2024-02-14,8.0500,8.1600,8.0100,8.1500,44646,INDU
2024-02-13,8.1900,8.3000,7.9200,7.9500,87189,INDU
2024-02-12,8.1800,8.4100,8.1600,8.3700,99562,INDU
2024-02-09,8.1152,8.2200,7.9600,8.1800,45647,INDU
2024-02-08,7.9100,8.1050,7.9000,8.0800,56798,INDU
2024-02-07,7.8900,7.9800,7.8100,7.9400,32758,INDU
2024-02-06,7.7500,7.8700,7.7400,7.8500,44161,INDU
2024-02-05,7.7700,7.8250,7.6200,7.7000,73233,INDU
2024-02-02,7.8400,7.9400,7.7203,7.8600,58962,INDU
2024-02-01,7.8100,7.8500,7.7400,7.8400,54671,INDU
2024-01-31,7.8200,7.8500,7.6900,7.7200,61659,INDU
2024-01-30,7.8900,7.8900,7.6500,7.8100,48493,INDU
2024-01-29,7.7800,7.8800,7.6700,7.8700,22830,INDU
2024-01-26,8.0000,8.0000,7.7300,7.8100,40048,INDU
2024-01-25,7.8100,7.9700,7.7700,7.9700,89298,INDU
2024-01-24,7.8800,7.8800,7.6900,7.7600,69053,INDU
2024-01-23,7.8900,7.9238,7.7500,7.7900,56801,INDU
2024-01-22,7.8200,7.8967,7.7100,7.8100,71479,INDU
2024-01-19,7.8900,7.8900,7.6601,7.8400,32840,INDU
2024-01-18,7.6700,7.8300,7.6000,7.8000,54334,INDU
2024-01-17,7.4900,7.6500,7.4350,7.6100,65754,INDU
2024-01-16,7.8200,7.8700,7.5200,7.6000,85035,INDU
2024-01-12,7.9700,8.0100,7.4300,7.9100,118651,INDU
2024-01-11,7.8900,7.9972,7.7606,7.9400,91818,INDU
2024-01-10,7.8800,7.9875,7.8800,7.9300,63178,INDU
2024-01-09,7.9000,7.9500,7.5124,7.9000,48651,INDU
2024-01-08,8.0600,8.0600,7.8100,7.9600,52627,INDU
2024-01-05,8.2500,8.3600,8.0700,8.1200,90626,INDU
2024-01-04,8.2500,8.4400,8.1863,8.2600,87358,INDU
2024-01-03,8.0800,8.2921,7.9300,8.1600,79571,INDU
2024-01-02,8.1400,8.2000,7.9700,8.1800,52754,INDU
2023-12-29,8.3500,8.3550,8.1300,8.2000,24892,INDU
2023-12-28,8.2500,8.3600,8.2200,8.3300,29246,INDU
2023-12-27,8.2600,8.3300,8.2000,8.2900,30086,INDU
2023-12-26,8.2800,8.3300,8.2000,8.2400,51042,INDU
2023-12-22,8.2400,8.3000,8.1640,8.2900,37896,INDU
2023-12-21,8.1900,8.3800,8.0939,8.1600,31233,INDU
2023-12-20,8.3200,8.4660,8.0600,8.1100,74417,INDU
2023-12-19,8.2600,8.4000,8.1050,8.3200,100855,INDU
2023-12-18,8.2300,8.4500,8.2300,8.2600,62713,INDU
2023-12-15,8.3500,8.3500,8.2100,8.2600,143753,INDU
2023-12-14,8.1000,8.3000,8.1000,8.1400,103456,INDU
2023-12-13,7.7700,8.1200,7.7500,8.1200,69496,INDU
2023-12-12,7.9500,7.9500,7.6200,7.7400,42596,INDU
2023-12-11,7.9200,7.9700,7.8300,7.9400,39397,INDU
2023-12-08,8.0844,8.1400,7.9600,7.9800,32707,INDU
2023-12-07,7.8000,8.0600,7.7100,8.0400,105417,INDU
2023-12-06,7.7300,7.9000,7.7300,7.7900,38851,INDU
2023-12-05,8.0000,8.0300,7.7000,7.7200,66084,INDU
2023-12-04,7.6900,8.1199,7.6900,8.0600,74522,INDU
2023-12-01,7.3800,7.8100,7.3800,7.7350,86674,INDU
2023-11-30,7.4100,7.5600,7.3200,7.4400,367568,INDU
2023-11-29,7.3000,7.4650,7.2150,7.4100,73696,INDU
2023-11-28,7.6300,7.6300,7.2500,7.2800,44891,INDU
2023-11-27,7.7500,7.8450,7.4900,7.5800,77034,INDU
2023-11-24,7.7000,7.8000,7.6800,7.7500,20818,INDU
2023-11-22,7.7600,7.7900,7.6300,7.6400,29357,INDU
2023-11-21,7.5000,7.7600,7.4800,7.7300,78686,INDU
2023-11-20,7.9000,7.9300,7.5100,7.5100,64387,INDU
2023-11-17,7.8800,7.9400,7.6700,7.8300,76886,INDU
2023-11-16,7.8400,7.9800,7.7400,7.8200,71666,INDU
2023-11-15,7.4600,7.8900,7.4600,7.8600,95787,INDU
2023-11-14,7.1600,7.5000,7.1266,7.4700,92660,INDU
2023-11-13,6.6700,7.0100,6.6700,6.9700,52667,INDU
2023-11-10,6.7500,6.8055,6.6719,6.7600,77499,INDU
2023-11-09,6.8000,6.9400,6.6800,6.7600,64126,INDU
2023-11-08,6.7900,6.8000,6.4000,6.7600,395012,INDU
2023-11-07,6.7800,6.8300,6.7100,6.7700,72045,INDU
2023-11-06,7.0700,7.1000,6.7700,6.8300,78839,INDU
2023-11-03,7.2500,7.2850,7.0800,7.1100,59395,INDU
2023-11-02,7.1900,7.2100,7.0500,7.1500,69718,INDU
2023-11-01,7.0100,7.2100,6.9700,7.1300,63026,INDU
2023-10-31,6.9500,7.0650,6.9400,7.0300,64391,INDU
2023-10-30,6.6800,6.9950,6.6800,6.9400,99161,INDU
2023-10-27,6.5500,6.7700,6.1230,6.6800,171461,INDU
2023-10-26,6.8300,6.8750,6.5200,6.6500,113288,INDU
2023-10-25,7.3400,7.3400,6.7600,6.8700,193310,INDU
2023-10-24,7.6000,7.7900,7.2500,7.3800,92394,INDU
2023-10-23,7.8700,8.0100,7.5100,7.5900,63687,INDU
2023-10-20,7.8900,8.0700,7.7300,7.9000,53744,INDU
2023-10-19,8.1300,8.2400,7.8600,7.8700,48706,INDU
2023-10-18,8.7300,8.7300,8.3100,8.3400,40206,INDU
2023-10-17,8.5800,8.8300,8.5800,8.7400,60865,INDU
2023-10-16,8.6700,8.8450,8.4950,8.5400,43672,INDU
2023-10-13,8.9576,8.9900,8.6300,8.6700,31826,INDU
2023-10-12,8.8100,9.0500,8.6700,8.9300,66604,INDU
2023-10-11,8.6300,8.9200,8.6200,8.8500,45359,INDU
2023-10-10,8.6400,8.7700,8.5400,8.5800,42521,INDU
2023-10-09,8.7600,8.7700,8.6350,8.6700,27992,INDU
2023-10-06,8.5000,8.8195,8.5000,8.7700,38315,INDU
2023-10-05,8.3500,8.5550,8.3200,8.4900,75406,INDU
2023-10-04,8.4000,8.4800,8.2500,8.4300,78603,INDU
2023-10-03,8.4800,8.5000,8.2500,8.4000,48117,INDU
2023-10-02,8.5300,8.5800,8.3845,8.5000,60165,INDU
2023-09-29,8.7900,8.7900,8.5200,8.5800,41231,INDU
2023-09-28,8.7500,8.7500,8.5500,8.7100,67404,INDU
2023-09-27,8.7600,8.9444,8.6800,8.7300,54892,INDU
2023-09-26,9.0200,9.1000,8.6600,8.7800,63647,INDU
2023-09-25,8.9300,9.1500,8.8242,9.1000,86818,INDU
2023-09-22,8.6100,9.0000,8.6100,8.9000,299481,INDU
2023-09-21,8.5800,8.6700,8.4100,8.6100,88770,INDU
2023-09-20,8.3100,8.7800,8.2300,8.5400,115966,INDU
2023-09-19,8.3401,8.3401,8.1350,8.2700,43523,INDU
2023-09-18,8.3100,8.4500,8.2600,8.3800,55478,INDU
2023-09-15,8.0500,8.4400,7.9600,8.2800,236705,INDU
2023-09-14,8.2200,8.2400,8.0300,8.0500,61827,INDU
2023-09-13,8.3700,8.4140,8.0800,8.1500,46551,INDU
2023-09-12,8.2100,8.5000,8.2000,8.4200,114296,INDU
2023-09-11,8.0500,8.2400,7.9600,8.2200,87747,INDU
2023-09-08,8.3700,8.3700,7.4200,8.0100,145110,INDU
2023-09-07,7.5100,7.5400,7.3550,7.5000,112632,INDU
2023-09-06,7.4800,7.5350,7.4100,7.4800,42122,INDU
2023-09-05,7.4900,7.5400,7.3200,7.4600,88871,INDU
2023-09-01,7.6400,7.7350,7.4500,7.5500,53971,INDU
2023-08-31,7.4100,7.6800,7.4100,7.6300,53954,INDU
2023-08-30,7.4200,7.6200,7.4200,7.4800,26948,INDU
2023-08-29,7.3600,7.5200,7.2900,7.4900,34859,INDU
2023-08-28,7.1800,7.4200,7.1800,7.3500,44164,INDU
2023-08-25,7.2300,7.2495,7.1000,7.1800,79724,INDU
2023-08-24,7.4200,7.4900,7.2300,7.2400,62032,INDU
2023-08-23,7.5000,7.6300,7.4100,7.4800,64523,INDU
2023-08-22,7.6400,7.6500,7.5100,7.5200,51907,INDU
2023-08-21,7.8000,7.8000,7.6100,7.6500,32200,INDU
2023-08-18,7.7900,7.8522,7.6100,7.8100,49127,INDU
2023-08-17,8.0300,8.0600,7.8100,7.8300,70703,INDU
