date,open,high,low,close,volume,symbol
2024-05-31,7.13,7.19,6.91,7.17,496206,INDU
2024-05-30,7.19,7.26,7.09,7.1,55668,INDU
2024-05-29,7.21,7.25,7.12,7.13,68824,INDU
2024-05-28,7.15,7.305,7.11,7.23,95491,INDU
2024-05-24,6.96,7.18,6.8,7.14,179842,INDU
2024-05-23,6.87,6.91,6.4,6.89,354477,INDU
2024-05-22,6.75,6.83,6.735,6.83,86746,INDU
2024-05-21,6.65,6.8,6.59,6.8,75046,INDU
2024-05-20,6.87,6.89,6.65,6.65,95378,INDU
2024-05-17,6.94,6.94,6.79,6.84,72928,INDU
2024-05-16,6.92,6.97,6.91,6.95,52801,INDU
2024-05-15,7.04,7.07,6.75,6.88,85350,INDU
2024-05-14,6.99,7.11,6.93,6.95,61848,INDU
2024-05-13,6.92,6.98,6.83,6.87,60425,INDU
2024-05-10,6.9,6.94,6.785,6.92,51070,INDU
2024-05-09,6.84,6.92,6.7,6.92,69587,INDU
2024-05-08,6.63,6.78,6.62,6.78,29609,INDU
2024-05-07,6.73,6.78,6.61,6.63,70898,INDU
2024-05-06,6.83,6.8762,6.69,6.69,31292,INDU
2024-05-03,6.8,6.87,6.7118,6.77,56579,INDU
2024-05-02,6.69,6.76,6.645,6.68,44935,INDU
2024-05-01,6.7,6.73,6.5437,6.61,45657,INDU
2024-04-30,6.9,6.9403,6.64,6.65,75178,INDU
2024-04-29,6.87,6.96,6.8,6.92,70097,INDU
2024-04-26,6.63,6.83,6.63,6.81,57075,INDU
2024-04-25,6.55,6.65,6.54,6.6,53713,INDU
2024-04-24,6.56,6.6238,6.52,6.57,64066,INDU
2024-04-23,6.46,6.68,6.46,6.54,70321,INDU
2024-04-22,6.72,6.72,6.46,6.48,68451,INDU
2024-04-19,6.64,6.8,6.57,6.66,53579,INDU
2024-04-18,6.88,6.92,6.59,6.66,86036,INDU
2024-04-17,7.08,7.095,6.86,6.86,40689,INDU
2024-04-16,7.12,7.12,7.0,7.1,55616,INDU
2024-04-15,7.3,7.33,7.071,7.13,58417,INDU
2024-04-12,7.46,7.46,7.25,7.27,74518,INDU
2024-04-11,7.54,7.54,7.39,7.47,44666,INDU
2024-04-10,7.58,7.665,7.531,7.56,98050,INDU
2024-04-09,7.75,7.76,7.68,7.74,60145,INDU
2024-04-08,7.88,7.9,7.69,7.72,73301,INDU
2024-04-05,7.68,7.88,7.65,7.88,49425,INDU
2024-04-04,7.81,7.85,7.62,7.67,68427,INDU
2024-04-03,7.74,7.89,7.74,7.78,72337,INDU
2024-04-02,7.66,7.8845,7.655,7.78,67966,INDU
2024-04-01,7.87,7.87,7.69,7.71,83530,INDU
2024-03-28,7.85,7.975,7.85,7.9,72287,INDU
2024-03-27,7.79,7.8799,7.77,7.85,67924,INDU
2024-03-26,7.74,7.93,7.74,7.77,41570,INDU
2024-03-25,7.76,7.82,7.685,7.73,64372,INDU
2024-03-22,8.06,8.1,7.78,7.78,42029,INDU
2024-03-21,7.83,8.11,7.8,8.02,58874,INDU
2024-03-20,7.61,7.89,7.61,7.83,64382,INDU
2024-03-19,7.55,7.78,7.55,7.64,197851,INDU
2024-03-18,7.68,7.72,7.57,7.58,268205,INDU
2024-03-15,7.61,7.82,7.56,7.74,336154,INDU
2024-03-14,7.9,7.92,7.5,7.57,243774,INDU
2024-03-13,7.82,7.92,7.82,7.86,202465,INDU
2024-03-12,7.77,7.84,7.64,7.8,110047,INDU
2024-03-11,7.71,7.84,7.61,7.78,69388,INDU
2024-03-08,8.2,8.2,7.67,7.8,129984,INDU
2024-03-07,8.235,8.25,8.08,8.21,53670,INDU
